mythicLevel,score,parTimeMs,clearTimeMs,percentRemaining,bonus
16,130.4,2580999,2494725,0.033426591796432314,0.4000000000000057
16,130.3,2340999,2289630,0.021943196045790706,0.30000000000001137
15,126.2,1800999,1626943,0.09664414027992242,1.2000000000000028
15,125.8,1920999,1799891,0.06304428060608049,0.7999999999999972
15,125.1,2280999,2254405,0.011658926636969153,0.09999999999999432
13,115.3,2580999,2524165,0.022020155761393167,0.29999999999999716
13,115.3,2220999,2172983,0.021619100233723654,0.29999999999999716
12,112.5,2340999,1874540,0.1992563858421127,2.5
10,94.7,1920999,1973301,-0.027226458733190385,-5.299999999999997
9,87.2,2460999,2031130,0.17467256183362936,2.200000000000003
7,78.6,1800999,1286440,0.2857075434245105,3.5999999999999943
5,64.0,2280999,1544986,0.32267133830396244,4.0
8,71.6,2220999,2828944,-0.2737259224340038,-8.400000000000006
14,0.0,2580999,4776904,-0.8507965326604155,-120.0
19,146.2,2220999,2007645,0.0960621774255639,1.1999999999999886
19,145.1,2280999,2264703,0.0071442381167199105,0.09999999999999432
18,142.4,2160999,1754712,0.188008879226691,2.4000000000000057
18,142.3,1920999,1573234,0.18103341022041136,2.3000000000000114
18,141.7,2340999,2028941,0.13330121029526285,1.6999999999999886
18,141.5,2460999,2158182,0.12304637263160205,1.5
18,140.9,2580999,2388929,0.07441692150984948,0.9000000000000057
17,136.0,1800999,1655349,0.08087178282719758,1.0
18,141.5,2280999,2015267,0.11649807825430875,1.5
18,140.6,2460999,2350530,0.044887868706976315,0.5999999999999943
17,136.7,1920999,1656109,0.13789179484216285,1.6999999999999886
17,136.4,2580999,2286324,0.11417090824134375,1.4000000000000057
17,136.1,2340999,2128845,0.09062541248415741,1.0999999999999943
17,135.6,2160999,2059618,0.04691395044606684,0.5999999999999943
17,135.5,1800999,1725775,0.041767929910011055,0.5
17,135.5,2220999,2140391,0.03629357779989995,0.5
9,86.8,2580999,2200743,0.14732899935257626,1.7999999999999972
9,86.5,1920999,1697329,0.11643420949204034,1.5
8,84.0,2220999,1503707,0.32295917287671,4.0
8,73.7,1800999,1992686,-0.10643370707035373,-6.299999999999997
